A.A. TRAVEL ACCOMMODATION ABROAD|||||32, Omirou Street, 171 21 N.Smyrni, Athens Tel 210-9344454, 9344827, 9344172, Fax: 210-9353424 Manager: Eleftheria Kouni [mappress] 
ABATIS TOURS|||||30, Knossou Street 123 51 Ag. Varvara Tel 210 5620967, Fax 210 5620814 Owner/Manager: Aikaterini Abatis E-mail: abatis-travel@ath.forthnet.gr  
ACADEMY TRAVEL|||||52, Nikis Street, 105 58 Athens Tel 2130056374 – 375, Fax 2130223529 Manager: George Pantelopoulos Member of: HATTA E-mail: info@academytravelgreece.com Site: www.academytravelgreece.com 
ACADIMOS HOLIDAYS|||||56, Venizelou (Panepistimiou) Street, 106 78 Athens Tel. 2103805211, Fax. 2103828414 E-mail:info@acadimostravel.gr, www.acadimostravel.gr Owner Diakopes Acadimos Monoprosopi Ltd., VAT 099764130 (A Athens) President Georgios Xydias, Managing Director Dimitrios Xydias, G.N.T.O. (EOT) Licence: 0206E61000110600 Member of: ΙΑΤΑ (code: 27-2-1329), HATTA (54/1971) G.D.S.: Worldspan, Amadeus    F.D.S.: FORTHcrs 
ACCOMODATION SERVICES ASTORIA TRAVEL|||||48, Stadiou Street, 105 64 Athens Tel (210) 3250380, Fax (210) 3215520 Vat Reg No: 044640314, DOY: Psyhikou Owner: Vasiliki Papagianni, Manager: Kostas Papagiannis Customer Service: Ms Zefi Papagianni, E-mail: zefi@astoria.gr Acc. Manager: Ms Marina Papagianni, E-mail: marina@astoria.gr GDS: Sabre E-mail: info@astoriatravel.gr, Web site: www.astoriatravel.gr 
ACE TRAVEL|||||168, Filolaou Street, 116 32 Athens Tel (210) 7520643, 7563650, 7015239, Fax (210) 7515049 Owner/Manager: Mrs Magda Laiou Member of: IATA (code 27-0 0562), HATTA GDS: Sabre
ACROPOLIS TRAVEL|||||9, Messolonghiou Street, 142 31 Nea Ionia-Athens Tel (210) 2754151, Fax (210) 2797936 Owner/Manager: Stavros Georgakidis Member of: HATTA, GDS: Sabre
ADRENALINE TEAM ADRENALINE|||||20, Solonos Streets, 176 73 Kallithea Tel (210) 9401616, Fax (210) 9406303 Manager: Grigoris Chrisos 
ADRIANOS TRAVEL Ltd|||||28, Pandrossou Street, 105 56 Athens Tel (210) 3244703, 3231015, 3220702, Fax (210) 3248657 Owner/Manager: M. Georgakarakos Member of: HATTA, GUATA/PETAGA, IATA (code 27-2 1182) GDS: Worldspan 
ADRIATOUR Ltd|||||14, Ermou Street, 105 63 Athens Tel (210) 3218611, 3227417-9, Fax (210) 3220604 Owner: Adriatour Ltd., Manager: Vass. Sanoulis GDS: Sabre 
ADVANCED TRAVEL SERVICES|||||6, Ermou Street (2nd floor), 105 63 Athens Tel (210) 3220618, Fax (210) 3253714 Owner/Manager: Kon/nos Patriarcheas Member of: IATA (code 27-2 0196)
AETHERIAL PERSONALISED TRAVEL|||||4, Vass. Sofias Avenue, 106 74 Athens Tel (210) 7295350, Fax (210) 7295352 Manager: Michalis Melas
AFEA TRAVEL & TOURISM S.A.|||||39-41, Lycavitou Street, 106 72 Athens Tel (210) 3668800, Fax (210) 3646415, Tlx 214238 Owners/Managers: A. Lignos,  Sp. Nikolakopoulos Member of: IATA (code 27-2 0036), ISCA, HATTA GDS: Galileo, Sabre, Amadeus
AGELAKIS TRAVEL|||||4, Fleming Street, 164 51 Argyroupolis Tel (210) 9925216, 9925221, Fax (210) 9937675 Owner/Manager: Mrs Vassiliki Armata Member of: IATA (code 27-2 1209), HATTA 
AGENDA|||||102,  Marinou Antipa  Avenue, Helioupolis, 163 46 Athens Tel 210-6147070,  Fax: 210-6147074 Manager: Georgios Matsagos
AGORA TRAVEL S.A.|||||71, Vass. Georgiou Ave., 166 75 Glyfada Tel (210) 8981836-7, Fax (210) 8981838, Owner: Agora Travel S.A., Vat Reg No: 094253906, DOY: FAE PEIRAIA Managing Director: N. Passas, E-mai: passas@agoratravel.gr Group Dept: Ms Eleni Karagiannakidou, E-mail: eleni@agoratravel.gr Member of: ASTA, HATTA, PATA E-mail: sales@agoratravel.gr, Web site: www.agoratravel.gr 
ARIMAR TRAVEL|||||20, A. Papandreou Street, 166 75 Glyfada Tel (210) 8940423, 8981162, Fax (210) 8940423 E-mail: arimar@arimar.gr Web site: www.arimar.gr 
AIR EXELIXI TRAVEL LTD|||||41, Laodikis Street, 166 74 Glyfada Tel (210) 9601593, Fax (210) 9601183 Owner: Air Exelixi Travel Ltd., Manager: Vaggelis Georgoulis
AIR FAST TICKETS|||||6, Skouze Street 18536, Piraeus, Greece Tel.: + 30 214 4163 600 Fax: + 30 210 4535 595 Owner: Fast Group A.E. Country Manager Greece: Panagiotis Evangelatos www.airfasttickets.com
AIRMANIA TRAVEL|||||367, Syngrou Avenue & 37, Pentelis, 175 64 P.Faliro Tel (210) 9498440, Fax (210) 9480394 Member of: IATA (code 27-2 1065-45) 
AIRONE TOURS|||||140, Parnithos Street, 136 71 Acharnes, Tel (210) 2404056, Fax (210) 2467991 Owner/Manager: Mrs E. Rapti Member of: HATTA, IATA (code 27-2 1154) GDS: Sabre 
AIROTEL TRAVEL AND TOURISM|||||10-12, Dorileou Street, Mavilli Sq., 115 21 Athens Tel (210) 6400720, Fax (210) 6400750, 6442653 Owner/Manager Alexandros Vassilikos Member of: HATTA 
AIRTICKETS|||||118, Alexandrou Panagouli Street, 153 43 Ag. Paraskevi Tel (210) 6859599, Fax (210) 6074136 Manager: Eleni Laska Member of: ASTA, HATTA 
AIR TRAVEL SERVICES|||||4, Filellinon Street, Syntagma Square, 105 57 Athens Tel (210) 3254421-3, 3230578, Fax (210) 3237871 Owner: Air Travel Services Ltd., Vat Reg No: 095569751, DOY: D’ ATHENS Manager: Christos Martzoucos Member of: IATA (domestic) (code 27-0 0037) HATTA, PETAGA GDS: Sabre 
AIRVISSA TRAVEL|||||15, Klisthenous Street, 105 52 Athens Tel (210) 3316900, Fax (210) 3316920 Owner/Manager: Alexandros Tselepis Member of: IATA (code 27-0 0655) HATTA, GDS: Sabre 
ALBA EXPRESS TRAVEL|||||28, A. Papandreou Street, 152 32 Halandri Tel (210) 6833127, 6853875, Fax (210) 6831897 Owner/Manager: C. Papantoniou Member of: HATTA, IATA (code 27-2 1108) GDS: Galileo
ALEXIS TOURS|||||294, Iera Odos,  122 43 Egaleo, Tel (210) 5315222, Fax (210) 5315522 Owner/Manager: Alex. Gasparatos Member of: HATTA 
ALFRED’S TOURS|||||8, Thassou Street, 166 75 Glyfada Tel (210) 9637091-2, Fax (210) 9635666 Reg Co.: Alfred’s tours Ltd., VAT 095014898 (Glyfada) General Manager: Alfred Charikiopoulos Sales Mgr: Ms Marina Charikiopoulou Coach Dept. Spv: Evag. Chartsia Member of: HATTA Email: alfreds@ath.forthnet.gr  We take this opportunity to introduce our agency: Our company was established in 1979, we have been always handing individuals, groups, F.I.T.’s, cruises. Our licence allows us to handle all kind of groups and individuals such as, cruise tickets, motorcoaches, student groups and multiday tours. We are providing services to a large number of students every year. Our agency divided into several departments as: INCOMING DEPARTMENT: Provides a fast and efficient service for hotel accommodation, tours and excursions for group and individuals. COACH DEPARTMENT: We have a modern fleet of coaches, from mini busses to 76 seaters, equipped with two-way radio, also our drivers have great experience in tourism business. We can provide a great variety of tours. CRUISE DEPARTMENT:  We can provide cruises in the Mediterranean in very competitive prices. We are at your full disposal for anything you may need, assuring, that we will always give you prompt answers. Thanking you for the attention and hoping to hear from you soon, I remain, Sincerely yours Alfred Charikiopoulos alfreds@ath.forthnet.gr 
ALICE TRAVEL|||||3, Lekka St., 105 63 Athens, Tel (210) 3235185-6, Fax (210) 3230423, Owner/Manager: Dim. Economou Member of: HATTA, GUATA/PETAGA 
ALKIVIADIS TOURS|||||128, El. Venizelou Street, 142 31 N. Ionia Tel (210) 2793489, 2718201, Fax (210) 2718201 Owner: Sotiris Athanasoulis, Manager: Ms Eleni Lina Member of: HATTA
ALKYON TRAVEL|||||97, Akademias Street, 106 77 Kaningos Square-Athens Tel (210) 3843220-1, 3832545, 3810861, Fax (210) 3833948 Owner/Manager: Panagiota Tsimtsili Member of: HATTA 
ALL ABOUT TRAVEL|||||12-14, Kar. Servias St., 105 62 Athens, Tel 210-3319401,Fax: 210-3319404 Manager: Maria Loumou 
ALL GREECE|||||1, Athinon Halkidos Street, 145 69 Athens Tel (210) 8145850, Fax (210) 8145851 Manager: Ms Despina Chatziandreou
ALMA HELLENIC TRAVEL|||||10-12, Ipokratous St., 106 79 Athens, Tel (210) 3648186, Fax (210) 3641443 Manager: Zan Zak Lezino Member of: HATTA
ALMOS TRAVEL Ltd|||||99, 3rd September Street, 104 34 Athens Tel (210) 8812587, 8818434, Fax (210) 8819187 Owner/Manager: Antonis Papanikolaou Member of: HATTA 
ALPHA JET TRAVEL Ltd|||||15, Vrilission St., 152 34 Halandri, Tel (210) 9229747, Fax (210) 9228532 Owner: Alpha Jet Travel Ltd, Managing Director: Spyros Tzougas-Matarassis Memder of: EBEA
ALTAIR TRAVEL AGENCY|||||26, Pendelis St., 175 64 P. Faliro, Tel (210) 9469220, Fax (210) 9469270 Owner: Altair Travel Agency S.A.,  Manager: Spiros Peroulis Member of: IATA (code 27-2 0054), HATTA, PETAGA, GDS: Amadeus 
