BANK TRAVEL Ltd.|||||17, Asklipiou St., 106 80 Athens Tel (210) 3646581-4, Fax (210) 3600367 Owner/Manager: G. Mitsotakis Member of: HATTA 
BCD TRAVEL|||||Member of Amphitrion Group of Companies 46, Kyprou & Ploutonos, 172 36 Dafni , Greece Tel 2130181000,  Fax 2130181099 RegCo BCD Travel Greece, VAT 997798420 (FAE ATHENS) President & Managing Director Dinos Mitsiou Member of the board Yiannis Mitsiou Operation Manager: Stelios Dimitriou Member of the Board: G. Jongeneel Accounting Manager: Vasso Karatzeni 
BE TO BE TRAVEL & EVENT MANAGEMENT S.A.|||||3, Bakopoulou Street, 154 51 N. Psyhiko Tel (210) 6747189, Fax (210) 6747445 VAT 095570252 (A’ Athens), NTOG licence: 02295 Owner: Be to Be Travel and Event Management S.A. Manager: Kostas Babas Member of: HATTA 
BELLAIR TRAVEL & TOURISM Ltd|||||2, Michalakopoulou Avenue, 115 28 Athens Tel (210) 3237593, 3239261-2, 3216136, Fax (210) 3229174 Manager: Mrs J. Menenakou Member of: ASTA, HATTA E-mail: bellair@otenet.gr, Web site: greecebellair.gr 
BENLETONI TOURS Ltd.|||||Head Office: 7-9, Tideos, 116 35 Pagrati, Athens Tel (210) 7010629, Fax (210) 7010627 Member of: HATTA, ASTA, IATA (code 27-2 1221) E-mail: benletoni@ath.forthnet.gr, venostravel@vivodinet.gr Web site: www.benletoni-tours.gr Owner/Manager: Veniamin Papadopoulos Branch Office: 12, Damareos Street, 161 21 Kaisariani Tel (210) 7568055, Fax (210) 7565058 
BETIS TRAVEL TOURISM & TRAVEL BUREAU|||||23, Falirou Street, 117 42 Athens, 5th floor Tel (210) 3255081-4, Fax (210) 3255085 Owner: P. Betis, General Manager: Pan. Betis Member of: ASTA, AYTOB, BITEJ, DRV, HATTA GDS: Amadeus 
BON TRAVEL|||||54, Nikis Street, 105 58 Athens Tel (210) 3222100, 3228284, Fax (210) 3224601, Tlx 215163 Owner/Manager: P. Bonatsos 
BOSS TRAVEL|||||Kyprion Agoniston & 2, Vrilission Sts, 151 26  Amaroussio Tel (210) 6104403, 6198269, Fax (210) 6197990 Owner/Manager: Mrs Efi Tritsini & Co Member of: IATA (code 27-2 1059), HATTA 
BOUNTY TRAVEL|||||59, El. Venizelou Street, 146 71 N. Erythrea Tel (210) 6202824,  Fax (210) 6202817 Owner/Manager: Ms Ageliki Kourti GDS: Galileo 
BOUTROS TOURS|||||9, Anth. Gazi, 105 61 Athens, Tel (210) 3248171-3, Fax (210) 3248184 Manager: Emad Boutros Member of: IATA (code 27-2 1237), HATTA GDS: Galileo, Sabre 
B. P. TRAVEL SERVICE Ltd.|||||9a, Apollonos St., 105 57 Athens Tel (210) 3232660, 3235929, 3239788-9, Fax (210) 3255297 Owner/Manager: Ms T. Koufou –  I. Katsigiannis Member of: IATA (code 27-0 0777), ASTA, HATTA GDS: Worldspan, Sabre 
BRASILIA TRAVEL & TOURISM|||||34, I. Metaxa Street, 166 74 Glyfada Tel (210) 8942817, 8943833, 8946885, Fax (210) 8943066 Owner/Manager: V. Lazaris, Reservations Supervisor: A. Lazaris Acc. Supervisor: V. Lazaris Member of: IATA (code 27-0 0090), HATTA, ASTA, GDS: Worldspan 
BRAVO TRAVEL|||||13, Alsous Street, 166 75 Glyfada Tel (210) 8986172, Fax (210) 8986173 Owner/Manager: Mrs Maria Lampropoulou Reservation Department: Mrs Anastasia Konstantinidou, Mrs Konstantina Kei Member of: IATA (code 27-0 0633), HATTA 
BURRAQ TRAVEL & TOURS|||||75, Menandrou Street, 104 37 Athens Tel (210) 5223232, Fax (210) 5200203 Manager: Dionysios Vasiliadis Member of: HATTA 
BYZANTINE TRAVEL|||||48a, Sokratous Street, Omonia, 104 31 Athens Tel (210) 5234850, 5233341,  Fax (210) 5234641 VAT 095570252 (A’ Athens), NTOG licence: 02295 Owner: Byzantine Travel Ltd, General Manager: Athanassios Makris Office Manager: Martine Schenker Member of: HATTA, GDS: Sabre, Amadeus 
